Time_s,Voltage,Acc0,Acc1
5.708675264,-0.03664837,-0.000830278,-0.000925633
5.70926143,-0.038561092,-0.000917901,-0.000981841
5.709847597,-0.04047453,-0.001021805,-0.001037991
5.710433763,-0.042386539,-0.001129588,-0.001091722
5.71101993,-0.044295506,-0.001227497,-0.001140409
5.711606096,-0.046200315,-0.001303063,-0.00118161
5.712192263,-0.048100168,-0.00134754,-0.001213514
5.712778429,-0.049994323,-0.001357674,-0.001235279
5.713364596,-0.051881834,-0.001336422,-0.001247208
5.713950762,-0.053761342,-0.001292491,-0.00125076
5.714536928,-0.055630991,-0.00123876,-0.00124844
5.715123095,-0.057488519,-0.001189909,-0.001243544
5.715709261,-0.059331512,-0.001159697,-0.00123978
5.716295428,-0.061157766,-0.001158422,-0.001240774
5.716881594,-0.062965661,-0.001191049,-0.001249594
5.717467761,-0.064754447,-0.001256347,-0.001268373
5.718053927,-0.066524395,-0.001347194,-0.001298105
5.718640094,-0.068276745,-0.001451991,-0.001338583
5.71922626,-0.070013471,-0.001556916,-0.001388449
5.719812427,-0.0717369,-0.00164859,-0.001445342
5.720398593,-0.073449268,-0.001716639,-0.001506196
5.72098476,-0.075152314,-0.001755662,-0.001567704
5.721570926,-0.076846984,-0.001766203,-0.001626854
5.722157093,-0.078533294,-0.001754545,-0.001681372
5.722743259,-0.080210325,-0.001731373,-0.001729942
5.723329426,-0.081876282,-0.001709565,-0.001772187
5.723915592,-0.083528564,-0.001701561,-0.001808484
5.724501758,-0.085163816,-0.001716815,-0.001839734
5.725087925,-0.08677805,-0.001759813,-0.001867101
5.725674091,-0.088366905,-0.001829045,-0.0018917
5.726260258,-0.089926144,-0.001917121,-0.001914239
5.726846424,-0.091452321,-0.002012021,-0.001934705
5.727432591,-0.092943463,-0.002099255,-0.001952219
5.728018757,-0.094399542,-0.002164546,-0.001965151
5.728604924,-0.095822562,-0.002196531,-0.001971486
5.72919109,-0.097216195,-0.002188967,-0.001969307
5.729777257,-0.098585011,-0.002141987,-0.001957267
5.730363423,-0.099933526,-0.002062175,-0.001934954
5.73094959,-0.101265274,-0.001961406,-0.001903095
5.731535756,-0.102582179,-0.001854718,-0.001863605
5.732121923,-0.103884325,-0.001757601,-0.001819448
5.732708089,-0.105170169,-0.001683254,-0.001774312
5.733294256,-0.106437072,-0.001640297,-0.001732128
5.733880422,-0.107682007,-0.001631373,-0.001696515
5.734466589,-0.108902227,-0.001652882,-0.001670261
5.735052755,-0.110095762,-0.00169587,-0.001654932
5.735638921,-0.11126161,-0.001747914,-0.001650641
5.736225088,-0.112399598,-0.001795647,-0.001656003
5.736811254,-0.113509971,-0.001827449,-0.001668347
5.737397421,-0.114592863,-0.001835783,-0.00168419
5.737983587,-0.115647881,-0.001818689,-0.001699958
5.738569754,-0.116673933,-0.00178015,-0.001712732
5.73915592,-0.117669373,-0.001729247,-0.001720806
5.739742087,-0.118632367,-0.001678288,-0.001723876
5.740328253,-0.119561346,-0.001640275,-0.001722902
5.74091442,-0.120455343,-0.001626227,-0.001719792
5.741500586,-0.121314124,-0.001642852,-0.001717035
5.742086753,-0.122138113,-0.001691037,-0.001717286
5.742672919,-0.122928158,-0.001765436,-0.001722847
5.743259086,-0.123685262,-0.001855251,-0.001735079
5.743845252,-0.124410333,-0.001946081,-0.0017539
5.744431419,-0.12510403,-0.002022519,-0.001777614
5.745017585,-0.125766711,-0.002071021,-0.00180319
5.745603751,-0.126398435,-0.002082506,-0.001826915
5.746189918,-0.126998983,-0.002054177,-0.001845177
5.746776084,-0.127567827,-0.001990166,-0.001855123
5.747362251,-0.128104068,-0.001900888,-0.001855101
5.747948417,-0.128606352,-0.001801197,-0.001844888
5.748534584,-0.129072844,-0.001707711,-0.001825771
5.74912075,-0.129501324,-0.001635823,-0.001800468
5.749706917,-0.129889404,-0.001596941,-0.001772799
5.750293083,-0.130234848,-0.001596494,-0.001747071
5.75087925,-0.130535867,-0.001633016,-0.001727262
5.751465416,-0.130791314,-0.001698488,-0.001716235
5.752051583,-0.131000739,-0.001779862,-0.001715192
5.752637749,-0.131164353,-0.001861489,-0.001723476
5.753223916,-0.131282934,-0.001928032,-0.001738702
5.753810082,-0.131357755,-0.001967307,-0.001757197
5.754396249,-0.131390508,-0.001972494,-0.00177467
5.754982415,-0.131383226,-0.00194328,-0.001787006
5.755568581,-0.131338175,-0.001885704,-0.001791
5.756154748,-0.131257687,-0.001810757,-0.001784841
5.756740914,-0.131143966,-0.00173204,-0.001768252
5.757327081,-0.130998898,-0.001662957,-0.001742328
5.757913247,-0.130823925,-0.001614022,-0.0017092
5.758499414,-0.130619998,-0.001590769,-0.00167161
5.75908558,-0.130387567,-0.001592695,-0.001632435
5.759671747,-0.130126626,-0.001613382,-0.001594163
5.760257913,-0.129836803,-0.001641808,-0.001558379
5.76084408,-0.129517537,-0.001664564,-0.001525411
5.761430246,-0.129168314,-0.00166859,-0.001494273
5.762016413,-0.128788879,-0.001643879,-0.001462979
5.762602579,-0.128379349,-0.001585623,-0.001429136
5.763188746,-0.127940166,-0.001495359,-0.00139063
5.763774912,-0.127471918,-0.001380862,-0.001346201
5.764361079,-0.126975082,-0.001254828,-0.001295769
5.764947245,-0.12644978,-0.001132593,-0.001240525
5.765533411,-0.125895567,-0.001029337,-0.001182817
5.766119578,-0.125311298,-0.000957311,-0.001125886
5.766705744,-0.124695076,-0.000923599,-0.001073438
5.767291911,-0.124044336,-0.000928819,-0.001029084
5.767878077,-0.123356115,-0.000967007,-0.000995691
5.768464244,-0.122627478,-0.001026696,-0.000974786
5.76905041,-0.121856043,-0.001093014,-0.000966182
5.769636577,-0.121040415,-0.001150434,-0.000967932
5.770222743,-0.120180418,-0.001185669,-0.000976659
5.77080891,-0.119277047,-0.001190146,-0.000988199
5.771395076,-0.118332177,-0.001161556,-0.00099837
5.771981243,-0.117348179,-0.001104151,-0.001003674
5.772567409,-0.116327547,-0.001027732,-0.00100177
5.773153576,-0.115272627,-0.000945555,-0.000991656
5.773739742,-0.114185477,-0.000871574,-0.000973603
5.774325909,-0.113067859,-0.000817601,-0.00094894
5.774912075,-0.11192129,-0.000790923,-0.000919715
5.775498242,-0.110747104,-0.000792846,-0.00088828
5.776084408,-0.109546471,-0.000818432,-0.000856805
5.776670574,-0.108320373,-0.000857456,-0.000826814
5.777256741,-0.107069594,-0.000896404,-0.000798843
5.777842907,-0.10579474,-0.000921134,-0.000772331
5.778429074,-0.104496313,-0.000919688,-0.000745802
5.77901524,-0.103174827,-0.000884697,-0.000717285
5.779601407,-0.101830938,-0.000814902,-0.000684842
5.780187573,-0.100465571,-0.000715478,-0.000647056
5.78077374,-0.099079958,-0.000597108,-0.000603351
5.781359906,-0.097675569,-0.000473983,-0.000554121
5.781946073,-0.096253962,-0.000361139,-0.000500711
5.782532239,-0.094816596,-0.000271639,-0.000445264
